interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
VIP_VIPR1	Neuropeptide	ligand-receptor	VIP	1	1	VIPR1	1	1
VIP_VIPR2	Neuropeptide	ligand-receptor	VIP	1	1	VIPR2	1	1
NPY_NPY1R	Neuropeptide	ligand-receptor	NPY	1	1	NPY1R	1	1
NPY_NPY2R	Neuropeptide	ligand-receptor	NPY	1	1	NPY2R	1	1
NPY_NPY5R	Neuropeptide	ligand-receptor	NPY	1	1	NPY5R	1	1
SST_SSTR1	Neuropeptide	ligand-receptor	SST	1	1	SSTR1	1	1
SST_SSTR2	Neuropeptide	ligand-receptor	SST	1	1	SSTR2	1	1
SST_SSTR3	Neuropeptide	ligand-receptor	SST	1	1	SSTR3	1	1
SST_SSTR4	Neuropeptide	ligand-receptor	SST	1	1	SSTR4	1	1
PENK_OPRD1	Neuropeptide	ligand-receptor	PENK	1	1	OPRD1	1	1
PENK_OPRM1	Neuropeptide	ligand-receptor	PENK	1	1	OPRM1	1	1
TAC3_TACR3	Neuropeptide	ligand-receptor	TAC3	1	1	TACR3	1	1
CCK_CCKBR	Neuropeptide	ligand-receptor	CCK	1	1	CCKBR	1	1
CRH_CRHR1	Neuropeptide	ligand-receptor	CRH	1	1	CRHR1	1	1
CRH_CRHR2	Neuropeptide	ligand-receptor	CRH	1	1	CRHR2	1	1
TAC1_TACR1	Neuropeptide	ligand-receptor	TAC1	1	1	TACR1	1	1
PDYN_OPRD1	Neuropeptide	ligand-receptor	PDYN	1	1	OPRD1	1	1
PDYN_OPRK1	Neuropeptide	ligand-receptor	PDYN	1	1	OPRK1	1	1
PDYN_OPRM1	Neuropeptide	ligand-receptor	PDYN	1	1	OPRM1	1	1
CORT_SSTR1	Neuropeptide	ligand-receptor	CORT	1	1	SSTR1	1	1
CORT_SSTR2	Neuropeptide	ligand-receptor	CORT	1	1	SSTR2	1	1
CORT_SSTR3	Neuropeptide	ligand-receptor	CORT	1	1	SSTR3	1	1
CORT_SSTR4	Neuropeptide	ligand-receptor	CORT	1	1	SSTR4	1	1
PTHLH_PTH1R	Neuropeptide	ligand-receptor	PTHLH	1	1	PTH1R	1	1
PNOC_OPRL1	Neuropeptide	ligand-receptor	PNOC	1	1	OPRL1	1	1
ADCYAP1_ADCYAP1R1	Neuropeptide	ligand-receptor	ADCYAP1	1	1	ADCYAP1R1	1	1
ADCYAP1_VIPR1	Neuropeptide	ligand-receptor	ADCYAP1	1	1	VIPR1	1	1
ADCYAP1_VIPR2	Neuropeptide	ligand-receptor	ADCYAP1	1	1	VIPR2	1	1
