Source,Receiver,Ligand,Target
Inhibitory PVALB neurons,Inhibitory SST neurons,GABA,GABA-A_a4b3g2S_complex
Inhibitory VIP neurons,Inhibitory SST neurons,GABA,GABA-A_a4b3g2S_complex
Astrocytes,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Endothelial and mural cells,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 3-4 IT neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 3-6 IT neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Inhibitory LAMP5 neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Inhibitory SST neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Microglial cells,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Oligodendrocyte progenitor cells,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Oligodendrocytes,Excitatory Layer 2-3 IT neurons I,NRXN1,NLGN4X
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Excitatory Layer 3-4 IT neurons,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Excitatory Layer 3-6 IT neurons,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
Inhibitory LAMP5 neurons,Excitatory Layer 2-3 IT neurons I,NRXN2,NLGN4X
